id,title,color,type,text
1-177,"Gustalf, the Lord of Ice Realm",BLUE,{E} UNIT,"<<HASTE>>, <<AURA>>"
1-178,"Nesphere, the Deep Sea Princess",BLUE,{E} UNIT,"[ACT] (1): Put 2 Clayta tokens into the battlefield. If you have 5 or more (U) units in the battlefield, you may put this into your chronoglyph as a bookmark.
[BOOKMARK]: Your Clayta tokens gain +2/+0 and <<AURA>>."
1-179,"Setsura, the Daughter of Yo",BLUE,{E} UNIT,[ENT][SYNC (U)]: Draw two cards.
1-180,"Machina, the Spiritual Chemist",BLUE,{E} UNIT,[DEV] You may return 1 non-{L} unit to its owner's hand.
1-181,Leonardo da Vinci,BLUE,{E} UNIT,[ENT] You may return 1 non-{L} unit to its owner's hand.
1-182,Freezing Spirit,BLUE,{N} UNIT,"<<AURA>>
[ENT] Exhaust an enemy unit.
[CB] Draw 2 card."
1-183,Helneb’s Illusion,BLUE,{N} UNIT,"[ENT] Put 1 Clayta token into the battlefield.
[ACT] Sacrifice 1 Clayta token: One unit gains <<AURA>>."
1-184,Blue Scale Rogue,BLUE,{N} UNIT,<<AURA>>
1-185,Sleeping Cat of Topoca,BLUE,{N} UNIT,"[DRAFT] At the beginning of the game, you may put this into your chronoglyph as a bookmark.
[BOOKMARK] You may redraw your initial hand up to 2 times."
1-186,Sage of Majulla Sea,BLUE,{N} UNIT,[ENT] You may put 1 card in your discard pile with [CB] to the top of your deck.
1-187,Little Witch of Mystica,BLUE,{N} UNIT,"[ENT] Put 1 Clayta token into the battlefield.
[ACT] (1): Sacrifice 1 Clayta token: Draw 2 cards.
[CB] Put 1 Clayta token into the battlefield."
1-188,Samurai Oracle,BLUE,{N} UNIT,"<<AURA>>
[ATK] If you have another unit with <<AURA>>, exhaust 1 unit.
[CB] One unit gains <<AURA>>."
1-189,Maelstrom of Einherth,BLUE,{L} SPELL,Exhaust all enemy units.
1-190,Shine of Blue Sun,BLUE,{L} SPELL,"Return up to 3 units to their owner's hand.
[CB] Put this into your hand."
1-191,Archmagic of Water,BLUE,{L} SPELL,"Return one exhausted unit to its owner's hand. Put X Clayta tokens into the battlefield. (X = CA value of the returned unit).
[CB] Put one non-{L} unit in your hand into the battlefield."
1-192,Hidden Path of Sages,BLUE,{L} SPELL,"Put 1 non-{L} unit in your hand into the battlefield. If it has <<AURA>>, draw 1 card."
1-193,Ancient Knowledge,BLUE,{E} SPELL,Draw 2 cards. Put 1 Clayta token into the battlefield.
1-194,Celestial Knowledge,BLUE,{E} SPELL,"Draw 2 cards. You may put 1 card from your hand to the top of your deck. If you do so, Chronocheck 1."
1-195,Polar Gale,BLUE,{E} SPELL,"Return 1 non-{L} unit to its owner's hand. Draw 1 card.
[CB] Put 1 non-{L} unit in your hand into the battlefield."
1-196,Return of Souls,BLUE,{E} SPELL,"<<MILESTONE>>
Return 1 unit to its owner’s hand."
1-197,Council of Mystica,BLUE,{E} SPELL,"Choose one. [SYNC (U)]: Instead, choose up to two.
* Return 1 exhausted unit to its owner's hand.
* One unit gains <<AURA>>.
* Exhaust 1 unit.
* Draw 1 card."
1-198,Blue Onslaught,BLUE,{N} SPELL,One unit gains +1/+1 and <<AURA>>.
1-199,Aqua Shot,BLUE,{N} SPELL,Deal 4 damage to one exhausted unit. This damage is increased by 1 for each of your Clayta token.
1-200,Freeze,BLUE,{N} SPELL,"Exhaust 1 enemy unit. During each opponents' next unexhaust phase, their units do not unexhaust.
[CB] Exhaust 1 unit."
1-201,"Gozz Omm, the Destroyer of History",WILD,{L} UNIT,"This card can be played from your CA zone as if it is in your hand.
[ENT] Chronocheck 1. Destroy all unit with the same CA value as the Chronocheck-ed card.
[ACT] Discard 1 card from your CA zone: This gains one of <<BRAVERY>>/<<BREACH>>/<<HASTE>>/<<VIGOR>>/<<AURA>>."
1-005CR,Athena,WHITE,{E} {CHRONO} UNIT,"<<BRAVERY>>, <<VIGOR>>
[CONT] The CA value of your cards become 3.
[ATK] This gains +1/+1 for each CA3 card in your CA zone."
1-061CR,"Shackt, the Channeling Oracle",ORANGE,{E} {CHRONO} UNIT,"[CONT] While this unit is exhausted, your other units gain +1/+1.
[AUTO] Whenever one of your other units enters the battlefield, you may exhaust this unit. If you do, draw 1 card.
[CB] Put this into the battlefield."
1-088CR,"Yaksh, the One Who Stake All",PURPLE,{E} {CHRONO} UNIT,"[ENT] <<JUDGE>>: Deal 7 damage to one unit.
[CONT] Increase the CA value of each card you reveal for <<JUDGE>> by 2.
[CB] <<JUDGE>> Deal 7 damage to one unit."
1-140CR,"Vaya, the Dark Omniscience",BLACK,{E} {CHRONO} UNIT,"[ENT] You may play 1 spell in your discard pile without paying its cost.
[AUTO] Whenever you play a spell, you may draw 1 card.
[CB] Resolve the effect of one non-{L} spell in your discard pile without paying its cost."
1-175CR,"En Ha, the Oracle of Waves",BLUE,{E} {CHRONO} UNIT,"[ENT] You may put up to 3 cards in your CA zone to the top of your deck in any order. Chronocheck X. (X = the number of cards put on top of your deck this way).
[CB] Draw 3 cards. Put 2 cards from your hand to the top of your deck in any order."
T-001,Knight,WHITE,{N} TOKEN UNIT,\n\n\n
T-002,Bear,ORANGE,{N} TOKEN UNIT,\n\n\n
T-003,Dragon,PURPLE,{N} TOKEN UNIT,\n\n\n
T-004,Zombie,BLACK,{N} TOKEN UNIT,\n\n\n
T-005,Clayta,BLUE,{N} TOKEN UNIT,[CONT] This cannot block.
